gene	EarlyMean	PreMeiMean	MeiMean	DICMean
MCM4	174.412905686546	344.720264550265	158.229778325123	113.552111801242
MCM5	205.31806518724	221.648835978836	63.0949507389163	139.762173913044
MCM6	187.113897364771	399.501851851852	261.342290640394	137.951552795031
MCM7	315.988099861304	531.876984126984	200.462093596059	112.490186335404
MCM8	24.3536061026352	32.3569312169312	62.7652216748768	24.4400621118012
MCM8-AS1	0	0	0	0
MCM9	2.11615811373093	7.9273544973545	12.8835467980296	11.5989440993789
MCMBP	77.4343134535367	106.301375661376	106.344950738916	80.3533540372671
MCMDC2	0.237968099861304	22.3134920634921	81.9355665024631	7.1204347826087
MCOLN1	26.8960332871012	12.0734391534392	8.81118226600985	17.2158385093168
MCOLN2	0	0.458730158730159	3.43802955665025	1.64354037267081
MCOLN3	0.0532732316227463	0.0630158730158731	23.8012561576355	3.94931677018634
MCPH1	22.3437170596394	22.7392063492063	24.4905911330049	18.5372670807453
MCPH1-AS1	0	0	0	3.81347826086957
MCRS1	58.0981345353675	166.607777777778	79.8650985221675	83.10049689441
MCTP1	0.0150970873786408	1.12978835978836	0.73807881773399	113.309627329193
MCTP2	0	0	0	19.9908695652174
MCTS1	274.222018030513	98.5056613756614	70.1775123152709	154.653167701863
MCTS2P	0	0	0	0
MCU	23.7547226074896	17.2651322751323	8.72243842364532	7.63080745341615
MCUR1	90.0866990291262	157.108783068783	36.2646305418719	33.8496273291926
MDC1	24.3490013869626	46.5261375661376	42.8975615763547	14.0669565217391
MDFI	0.42251040221914	0	0	0
MDFIC	0	0	0	0.0642236024844722
MDGA1	0	1.12952380952381	1.31155172413793	1.99403726708075
MDGA2	0	0.247830687830688	1.10184729064039	19.7862732919255
MDH1	632.828037447989	360.294444444444	155.087783251232	277.009068322981
MDH1B	0.0648474341192789	3.84164021164021	13.6108866995074	1.74142857142857
MDH2	316.150540915395	281.608624338624	129.990098522167	458.345527950311
MDK	637.50794036061	1647.90153439153	697.696995073892	221.851180124224
MDM1	30.6412898751734	68.9565079365079	64.1155665024631	55.5332919254659
MDM2	87.8135991678225	35.8674074074074	32.4711083743842	101.83950310559
MDM4	48.98	54.1710052910053	102.810935960591	71.6542857142857
MDN1	184.279500693481	173.906772486772	136.100665024631	91.6526086956522
MDP1	0	0	0	0
MDS2	0	0	0	1.41652173913044
ME1	0	0.644232804232805	15.6974876847291	0.204285714285715
