average_zygote	average_Twocell	average_Fourcell	average_Eightcell	average_Morula
ABCC12	0.262955348142857	0.293301778190476	1.59493997897619	0.0940431195714287	0
ABCC13	0	0	0	0	0.0187451099642857
ABCC2	0.192468752857143	0.298980683666667	0.269333060452381	0.3790515505	1.24321294701786
ABCC3	21.1034953057143	9.78123652847619	49.8111613328571	6.39565878192857	0.569577308660715
ABCC4	226.472933638095	281.6841829	191.082369145238	24.0370313128571	17.2646400185179
ABCC5	33.1375360433333	21.4641262728571	44.9175797178571	44.1069318985714	143.030169217143
ABCC5-AS1	0	0	0	0.129009174071429	0
ABCC6	76.00038309	88.4490611642857	124.696884048333	85.5446914864286	11.2166830559821
ABCC6P1	407.774923761905	481.630904504762	703.099541104762	460.420923378571	81.13166126
ABCC6P2	0	0	0	0	0
ABCC8	0.019652365	0.017224549952381	0.128723296190476	0.00852436814285716	0
ABCC9	0.019652365	0	0	0.00745377571428572	0.00478932203571429
ABCD1	3.61912717185714	2.87945353490476	3.13504544711905	0.553795343428572	0.359594202875
ABCD2	0	0	0	0	0
ABCD3	110.834692721905	80.4965051390476	96.1555670292857	51.3252692178571	28.8779683311071
ABCD4	112.128263373333	86.5685572733333	125.432853030952	41.1755817178571	23.8487939103571
ABCE1	98.5618285009524	73.34326415	72.5899987264286	102.560137457143	89.8972247855357
ABCF1	140.229578514286	185.3271375	259.491858414286	713.108934178572	820.211078494643
ABCF2	75.2496766114286	60.7468776571429	97.8798640069048	866.960006664286	741.866971483929
ABCF3	16.7826118190476	10.6142983850476	24.0528359280952	22.3791898005714	26.1467795528571
ABCG1	0.0460585178571429	0.0300894018095238	0	0	0
ABCG2	1.12748573766667	0.616307469904762	7.23411837976191	0.9804428525	0
ABCG4	6.93165936452381	10.6475280508571	9.05615855997619	0.629602258	0.191989330410714
ABCG5	3.12773626385714	1.04914309414286	3.73464157409524	0.664764215714286	0.0357537569107143
ABCG8	9.99807933647619	6.45354153142857	13.0056069256905	6.2852725085	0
ABHD1	5.11802964571429	3.1546555092381	1.20739934978571	0.082333332357143	0
ABHD10	1.72019569471429	0.879640892	0.541653076619048	0.0568341608571429	2.23186064830357
ABHD11	2.60136035928571	2.29332758066667	4.150904757	14.6288206527143	15.7548524574286
ABHD11-AS1	0	0.0102696072380952	0	0	0
ABHD12	16.0245803590476	13.4963651531429	21.9020962582619	23.6661475553571	19.010782170125
ABHD12B	25.0027363942857	16.074943462381	17.0851419447619	9.08716008778572	0.225194136803572
ABHD13	3.70694839657143	1.70554124685714	0.767455695738095	2.84370543007143	27.296382953125
ABHD14A	1.30671960495238	0.881228325952381	0.231619312809524	0.0106698192142857	0.0214255162142857
ABHD14A-ACY1	0	0	0	0	0
ABHD14B	6.66820683309524	7.76872189852381	3.15614891714286	10.366148796	48.6511319698571
